path length;found solution;error;iterations
5;False;105;101
6;False;206;101
7;False;107;101
8;True;6;86
9;False;8;101
10;True;6;41
11;False;8;101
12;False;10;101
13;False;8;101
14;False;12;101
15;False;8;101
16;False;10;101
17;False;12;101
18;False;8;101
19;False;10;101
20;False;12;101
21;False;10;101
22;False;12;101
23;False;10;101
24;False;18;101
25;False;8;101
26;False;18;101
27;False;20;101
28;False;22;101
29;False;10;101
30;False;26;101
31;False;18;101
32;False;8;101
33;False;18;101
34;False;24;101
35;False;14;101
36;False;8;101
37;False;18;101
38;False;24;101
39;False;22;101
40;False;22;101
41;False;8;101
42;False;12;101
5;True;5;68
6;True;5;38
7;False;207;101
8;False;7;101
9;False;9;101
10;False;110;101
11;False;411;101
12;False;312;101
13;False;7;101
14;True;5;39
15;False;13;101
16;False;316;101
17;False;7;101
18;True;5;10
19;False;11;101
20;False;9;101
21;False;406;101
22;False;122;101
23;False;13;101
24;False;402;101
25;False;15;101
26;False;13;101
27;False;402;101
28;False;21;101
29;False;21;101
30;False;704;101
31;False;13;101
32;False;11;101
33;False;410;101
34;False;134;101
35;False;402;101
36;False;7;101
37;False;17;101
38;False;402;101
39;False;416;101
40;False;7;101
41;False;11;101
42;False;234;101
5;False;205;101
6;False;106;101
7;False;207;101
8;False;7;101
9;False;9;101
10;False;303;101
11;False;7;101
12;True;5;24
13;False;213;101
14;False;303;101
15;False;215;101
16;False;301;101
17;False;15;101
18;False;9;101
19;False;15;101
20;False;7;101
21;False;221;101
22;False;301;101
23;False;223;101
24;False;13;101
25;False;305;101
26;False;9;101
27;False;7;101
28;False;11;101
29;False;305;101
30;False;17;101
31;False;328;101
32;False;313;101
33;False;301;101
34;False;9;101
35;False;235;101
36;False;301;101
37;False;25;101
38;False;411;101
39;False;302;101
40;False;600;101
41;False;307;101
42;False;305;101
