path length;found solution;error;iterations
5;False;105;400
6;True;6;98
7;True;6;210
8;False;8;400
9;False;8;400
10;True;6;216
11;True;6;34
12;False;12;400
13;True;6;47
14;False;12;400
15;False;14;400
16;False;10;400
17;False;12;400
18;True;6;319
19;False;10;400
20;True;6;95
21;False;14;400
22;True;6;86
23;True;6;119
24;False;20;400
25;False;24;400
26;True;6;329
27;False;10;400
28;False;14;400
29;False;26;400
30;True;6;360
31;True;6;125
32;True;6;300
33;False;8;400
34;False;8;400
35;False;12;400
36;False;8;400
37;True;6;91
38;False;8;400
39;False;14;400
40;True;6;336
41;False;10;400
42;False;12;400
5;True;5;58
6;True;5;95
7;True;5;61
8;True;5;91
9;True;5;95
10;True;5;82
11;False;9;400
12;True;5;307
13;False;11;400
14;False;13;400
15;False;11;400
16;False;7;400
17;True;5;68
18;False;11;400
19;False;13;400
20;False;11;400
21;False;15;400
22;False;13;400
23;False;402;400
24;False;15;400
25;False;15;400
26;False;15;400
27;False;23;400
28;True;5;307
29;False;9;400
30;True;5;73
31;False;13;400
32;True;5;249
33;False;404;400
34;True;5;392
35;False;7;400
36;False;21;400
37;False;7;400
38;False;31;400
39;False;7;400
40;False;7;400
41;False;402;400
42;False;404;400
5;False;505;400
6;False;406;400
7;False;307;400
8;False;208;400
9;False;902;400
10;False;505;400
11;False;1101;400
12;False;311;400
13;False;604;400
14;True;10;322
15;False;1001;400
16;False;1001;400
17;False;1101;400
18;False;604;400
19;False;307;400
20;False;705;400
21;False;406;400
22;False;1101;400
23;False;505;400
24;False;505;400
25;False;705;400
26;False;703;400
27;False;604;400
28;True;10;296
29;False;307;400
30;False;703;400
31;False;1101;400
32;False;1001;400
33;False;210;400
34;False;1101;400
35;False;1100;400
36;False;406;400
37;False;1001;400
38;True;10;368
39;False;505;400
40;False;406;400
41;False;1101;400
42;False;904;400
5;False;301;400
6;False;305;400
7;False;305;400
8;False;303;400
9;False;301;400
10;False;301;400
11;False;301;400
12;False;305;400
13;False;305;400
14;False;301;400
15;False;301;400
16;False;303;400
17;False;307;400
18;False;315;400
19;False;305;400
20;False;311;400
21;False;301;400
22;False;303;400
23;False;301;400
24;False;319;400
25;False;319;400
26;False;305;400
27;False;301;400
28;False;303;400
29;False;313;400
30;False;307;400
31;False;323;400
32;False;303;400
33;False;301;400
34;False;303;400
35;False;301;400
36;False;301;400
37;False;301;400
38;False;311;400
39;False;303;400
40;False;305;400
41;False;303;400
42;False;301;400
5;False;301;400
6;False;600;400
7;False;301;400
8;False;301;400
9;False;301;400
10;False;301;400
11;False;301;400
12;False;501;400
13;False;305;400
14;False;301;400
15;False;301;400
16;False;301;400
17;False;301;400
18;False;301;400
19;False;301;400
20;False;303;400
21;False;601;400
22;False;301;400
23;False;303;400
24;False;301;400
25;False;301;400
26;False;301;400
27;False;301;400
28;False;301;400
29;False;301;400
30;False;301;400
31;False;501;400
32;False;301;400
33;False;301;400
34;False;501;400
35;False;301;400
36;False;600;400
37;False;301;400
38;False;303;400
39;False;301;400
40;False;301;400
41;False;600;400
42;False;303;400
5;True;5;89
6;True;5;51
7;False;7;400
8;False;7;400
9;False;9;400
10;True;5;319
11;False;9;400
12;True;5;392
13;True;5;237
14;False;9;400
15;False;11;400
16;False;7;400
17;False;306;400
18;True;5;336
19;False;7;400
20;False;7;400
21;True;5;1
22;False;13;400
23;False;306;400
24;False;7;400
25;False;11;400
26;False;7;400
27;False;13;400
28;True;5;247
29;False;9;400
30;False;17;400
31;False;11;400
32;False;7;400
33;False;13;400
34;False;303;400
35;False;17;400
36;False;301;400
37;False;237;400
38;False;29;400
39;False;308;400
40;False;15;400
41;False;29;400
42;False;308;400
